user_id,cohort_month
1,2024-05
2,2024-01
3,2024-05
4,2024-06
5,2024-06
6,2024-02
7,2024-01
8,2024-01
9,2024-02
10,2024-01
11,2024-04
12,2024-06
13,2024-06
14,2024-01
15,2024-04
16,2024-05
17,2024-01
18,2024-03
19,2024-04
20,2024-03
21,2024-03
22,2024-05
23,2024-04
24,2024-02
25,2024-03
26,2024-02
27,2024-01
28,2024-01
29,2024-02
30,2024-01
31,2024-01
32,2024-04
33,2024-03
34,2024-03
35,2024-02
36,2024-01
37,2024-01
38,2024-02
39,2024-02
40,2024-06
41,2024-01
42,2024-06
43,2024-06
44,2024-06
45,2024-05
46,2024-03
47,2024-05
48,2024-05
49,2024-01
50,2024-01
51,2024-06
52,2024-03
53,2024-04
54,2024-03
55,2024-02
56,2024-04
57,2024-02
58,2024-02
59,2024-02
60,2024-01
61,2024-03
62,2024-06
63,2024-06
64,2024-03
65,2024-04
66,2024-01
67,2024-01
68,2024-04
69,2024-01
70,2024-04
71,2024-03
72,2024-03
73,2024-04
74,2024-01
75,2024-06
76,2024-06
77,2024-01
78,2024-06
79,2024-05
80,2024-01
81,2024-03
82,2024-03
83,2024-05
84,2024-01
85,2024-01
86,2024-06
87,2024-05
88,2024-05
89,2024-02
90,2024-01
91,2024-02
92,2024-06
93,2024-06
94,2024-01
95,2024-02
96,2024-01
97,2024-04
98,2024-01
99,2024-03
100,2024-05
101,2024-04
102,2024-03
103,2024-05
104,2024-05
105,2024-05
106,2024-03
107,2024-05
108,2024-02
109,2024-06
110,2024-01
111,2024-02
112,2024-03
113,2024-06
114,2024-06
115,2024-02
116,2024-02
117,2024-02
118,2024-05
119,2024-06
120,2024-06
121,2024-03
122,2024-04
123,2024-01
124,2024-01
125,2024-04
126,2024-01
127,2024-01
128,2024-05
129,2024-06
130,2024-02
131,2024-05
132,2024-05
133,2024-06
134,2024-04
135,2024-03
136,2024-01
137,2024-02
138,2024-02
139,2024-05
140,2024-05
141,2024-01
142,2024-03
143,2024-02
144,2024-06
145,2024-04
146,2024-05
147,2024-05
148,2024-04
149,2024-01
150,2024-05
151,2024-01
152,2024-04
153,2024-06
154,2024-06
155,2024-06
156,2024-02
157,2024-05
158,2024-01
159,2024-01
160,2024-01
161,2024-02
162,2024-04
163,2024-01
164,2024-05
165,2024-06
166,2024-04
167,2024-06
168,2024-06
169,2024-05
170,2024-05
171,2024-01
172,2024-03
173,2024-05
174,2024-04
175,2024-01
176,2024-06
177,2024-01
178,2024-03
179,2024-04
180,2024-05
181,2024-02
182,2024-02
183,2024-04
184,2024-04
185,2024-03
186,2024-02
187,2024-06
188,2024-02
189,2024-06
190,2024-03
191,2024-05
192,2024-06
193,2024-01
194,2024-01
195,2024-04
196,2024-05
197,2024-06
198,2024-04
199,2024-06
200,2024-05
201,2024-04
202,2024-02
203,2024-06
204,2024-02
205,2024-04
206,2024-04
207,2024-05
208,2024-01
209,2024-01
210,2024-01
211,2024-03
212,2024-04
213,2024-03
214,2024-03
215,2024-01
216,2024-03
217,2024-05
218,2024-03
219,2024-03
220,2024-06
221,2024-05
222,2024-06
223,2024-02
224,2024-03
225,2024-03
226,2024-03
227,2024-06
228,2024-06
229,2024-04
230,2024-02
231,2024-05
232,2024-05
233,2024-06
234,2024-06
235,2024-06
236,2024-02
237,2024-01
238,2024-01
239,2024-02
240,2024-01
241,2024-01
242,2024-05
243,2024-01
244,2024-03
245,2024-06
246,2024-02
247,2024-06
248,2024-03
249,2024-06
250,2024-02
251,2024-05
252,2024-04
253,2024-05
254,2024-02
255,2024-03
256,2024-06
257,2024-03
258,2024-05
259,2024-04
260,2024-01
261,2024-05
262,2024-03
263,2024-06
264,2024-02
265,2024-03
266,2024-06
267,2024-01
268,2024-06
269,2024-05
270,2024-06
271,2024-03
272,2024-01
273,2024-03
274,2024-05
275,2024-06
276,2024-05
277,2024-02
278,2024-06
279,2024-06
280,2024-02
281,2024-04
282,2024-03
283,2024-02
284,2024-06
285,2024-05
286,2024-06
287,2024-02
288,2024-06
289,2024-02
290,2024-03
291,2024-03
292,2024-04
293,2024-03
294,2024-01
295,2024-01
296,2024-03
297,2024-03
298,2024-02
299,2024-06
300,2024-01
301,2024-02
302,2024-04
303,2024-02
304,2024-02
305,2024-05
306,2024-03
307,2024-05
308,2024-02
309,2024-02
310,2024-01
311,2024-06
