user_id,registration_date,marketing_source,country,platform
1,2024-05-15,Influencer,IN,iOS
2,2024-01-15,Organic,US,Android
3,2024-05-05,Google Ads,UA,iOS
4,2024-06-03,Facebook Ads,US,iOS
5,2024-06-03,Influencer,DE,Android
6,2024-02-18,Organic,UK,iOS
7,2024-01-22,Influencer,UA,Android
8,2024-01-08,Google Ads,UA,Android
9,2024-02-05,Google Ads,UA,Android
10,2024-01-03,Organic,DE,Android
11,2024-04-07,Organic,UA,Android
12,2024-06-16,Organic,IN,iOS
13,2024-06-11,Google Ads,UK,iOS
14,2024-01-17,Organic,UA,iOS
15,2024-04-23,Organic,IN,iOS
16,2024-05-22,Google Ads,IN,Android
17,2024-01-01,Influencer,DE,iOS
18,2024-03-07,Organic,US,iOS
19,2024-04-16,Google Ads,UK,Android
20,2024-03-28,Google Ads,US,iOS
21,2024-03-21,Organic,IN,Android
22,2024-05-08,Organic,IN,Android
23,2024-04-19,Organic,DE,iOS
24,2024-02-13,Google Ads,UK,iOS
25,2024-03-12,Organic,UK,Android
26,2024-02-13,Influencer,IN,Android
27,2024-01-06,Organic,US,iOS
28,2024-01-31,Google Ads,DE,iOS
29,2024-02-26,Influencer,US,iOS
30,2024-01-14,Google Ads,DE,iOS
31,2024-01-03,Organic,DE,iOS
32,2024-04-02,Influencer,UK,Android
33,2024-03-20,Organic,UK,iOS
34,2024-03-25,Google Ads,IN,iOS
35,2024-02-29,Organic,IN,Android
36,2024-01-13,Influencer,UA,Android
37,2024-01-15,Influencer,UA,iOS
38,2024-02-06,Facebook Ads,DE,iOS
39,2024-02-03,Google Ads,UK,iOS
40,2024-06-01,Influencer,US,iOS
41,2024-01-31,Organic,IN,iOS
42,2024-06-06,Facebook Ads,DE,iOS
43,2024-06-23,Google Ads,DE,Android
44,2024-06-17,Google Ads,US,iOS
45,2024-05-08,Google Ads,UA,Android
46,2024-03-27,Organic,US,Android
47,2024-05-25,Influencer,IN,Android
48,2024-05-27,Organic,IN,Android
49,2024-01-23,Google Ads,UK,Android
50,2024-01-05,Organic,UA,Android
51,2024-06-18,Organic,UK,Android
52,2024-03-14,Influencer,IN,iOS
53,2024-04-27,Organic,IN,Android
54,2024-03-01,Organic,DE,Android
55,2024-02-07,Organic,US,iOS
56,2024-04-18,Organic,IN,iOS
57,2024-02-06,Facebook Ads,UA,Android
58,2024-02-11,Influencer,UA,iOS
59,2024-02-02,Google Ads,DE,Android
60,2024-01-22,Organic,US,iOS
61,2024-03-06,Influencer,UA,iOS
62,2024-06-27,Organic,UA,iOS
63,2024-06-06,Organic,DE,Android
64,2024-03-03,Organic,US,Android
65,2024-04-02,Organic,US,Android
66,2024-01-07,Facebook Ads,UK,Android
67,2024-01-06,Google Ads,US,iOS
68,2024-04-12,Google Ads,DE,iOS
69,2024-01-15,Organic,DE,Android
70,2024-04-28,Google Ads,DE,Android
71,2024-03-07,Organic,UK,Android
72,2024-03-21,Organic,IN,iOS
73,2024-04-10,Organic,UK,Android
74,2024-01-19,Google Ads,UA,Android
75,2024-06-11,Google Ads,UA,iOS
76,2024-06-12,Google Ads,IN,iOS
77,2024-01-11,Organic,IN,Android
78,2024-06-03,Google Ads,IN,Android
79,2024-05-27,Organic,UK,Android
80,2024-01-14,Influencer,UK,iOS
81,2024-03-28,Organic,UK,Android
82,2024-03-09,Influencer,UK,Android
83,2024-05-11,Organic,UK,iOS
84,2024-01-02,Facebook Ads,UA,Android
85,2024-01-25,Organic,US,Android
86,2024-06-05,Facebook Ads,DE,iOS
87,2024-05-09,Google Ads,DE,Android
88,2024-05-08,Organic,DE,iOS
89,2024-02-15,Organic,UA,iOS
90,2024-01-12,Google Ads,IN,Android
91,2024-02-09,Organic,US,iOS
92,2024-06-17,Facebook Ads,UK,Android
93,2024-06-21,Facebook Ads,IN,iOS
94,2024-01-12,Organic,UK,Android
95,2024-02-27,Organic,UK,Android
96,2024-01-16,Google Ads,UA,Android
97,2024-04-05,Facebook Ads,IN,Android
98,2024-01-04,Influencer,IN,Android
99,2024-03-01,Facebook Ads,UK,iOS
100,2024-05-24,Organic,DE,iOS
101,2024-04-29,Google Ads,US,Android
102,2024-03-07,Organic,UK,iOS
103,2024-05-06,Google Ads,UA,Android
104,2024-05-11,Organic,UA,iOS
105,2024-05-30,Organic,US,Android
106,2024-03-11,Organic,IN,iOS
107,2024-05-06,Influencer,UA,iOS
108,2024-02-04,Organic,UK,Android
109,2024-06-08,Facebook Ads,US,iOS
110,2024-01-18,Facebook Ads,UA,iOS
111,2024-02-04,Influencer,UA,iOS
112,2024-03-10,Google Ads,UA,Android
113,2024-06-29,Google Ads,UK,Android
114,2024-06-27,Google Ads,DE,iOS
115,2024-02-08,Facebook Ads,UA,Android
116,2024-02-09,Organic,US,Android
117,2024-02-14,Facebook Ads,DE,Android
118,2024-05-15,Facebook Ads,UA,Android
119,2024-06-03,Organic,UA,iOS
120,2024-06-03,Organic,DE,iOS
121,2024-03-15,Organic,IN,iOS
122,2024-04-19,Google Ads,IN,Android
123,2024-01-21,Google Ads,UA,iOS
124,2024-01-31,Organic,DE,iOS
125,2024-04-21,Facebook Ads,DE,Android
126,2024-01-24,Facebook Ads,UK,iOS
127,2024-01-08,Organic,US,iOS
128,2024-05-06,Google Ads,US,Android
129,2024-06-03,Influencer,IN,Android
130,2024-02-26,Organic,UK,Android
131,2024-05-07,Facebook Ads,DE,Android
132,2024-05-22,Google Ads,DE,Android
133,2024-06-01,Influencer,UA,Android
134,2024-04-29,Google Ads,UA,Android
135,2024-03-19,Facebook Ads,UK,iOS
136,2024-01-11,Organic,DE,iOS
137,2024-02-26,Organic,DE,iOS
138,2024-02-24,Google Ads,DE,iOS
139,2024-05-14,Facebook Ads,US,Android
140,2024-05-07,Google Ads,DE,Android
141,2024-01-14,Facebook Ads,DE,Android
142,2024-03-26,Organic,IN,Android
143,2024-02-02,Google Ads,IN,Android
144,2024-06-30,Facebook Ads,IN,Android
145,2024-04-27,Facebook Ads,DE,iOS
146,2024-05-11,Influencer,US,iOS
147,2024-05-10,Organic,US,Android
148,2024-04-05,Facebook Ads,DE,Android
149,2024-01-28,Google Ads,DE,iOS
150,2024-05-17,Facebook Ads,UA,iOS
151,2024-01-02,Influencer,US,Android
152,2024-04-24,Influencer,DE,Android
153,2024-06-29,Facebook Ads,UA,Android
154,2024-06-09,Organic,IN,Android
155,2024-06-24,Organic,DE,iOS
156,2024-02-26,Organic,UA,Android
157,2024-05-26,Google Ads,US,iOS
158,2024-01-20,Facebook Ads,DE,Android
159,2024-01-17,Organic,UA,iOS
160,2024-01-13,Facebook Ads,DE,iOS
161,2024-02-03,Organic,UA,iOS
162,2024-04-13,Organic,IN,iOS
163,2024-01-22,Google Ads,DE,iOS
164,2024-05-15,Organic,US,iOS
165,2024-06-05,Facebook Ads,DE,Android
166,2024-04-13,Organic,UK,Android
167,2024-06-04,Organic,UA,iOS
168,2024-06-07,Google Ads,UK,iOS
169,2024-05-21,Facebook Ads,US,Android
170,2024-05-15,Organic,UK,iOS
171,2024-01-06,Google Ads,DE,iOS
172,2024-03-11,Google Ads,UA,iOS
173,2024-05-24,Organic,UK,Android
174,2024-04-27,Organic,UK,iOS
175,2024-01-18,Facebook Ads,US,Android
176,2024-06-09,Organic,UK,iOS
177,2024-01-24,Facebook Ads,DE,iOS
178,2024-03-04,Influencer,UK,Android
179,2024-04-10,Google Ads,US,Android
180,2024-05-21,Organic,DE,Android
181,2024-02-06,Organic,US,Android
182,2024-02-16,Facebook Ads,DE,Android
183,2024-04-25,Google Ads,UA,iOS
184,2024-04-22,Influencer,UK,Android
185,2024-03-07,Facebook Ads,UA,Android
186,2024-02-22,Organic,UA,iOS
187,2024-06-29,Organic,US,iOS
188,2024-02-14,Facebook Ads,IN,Android
189,2024-06-12,Organic,US,iOS
190,2024-03-27,Google Ads,UK,Android
191,2024-05-24,Influencer,UA,Android
192,2024-06-16,Organic,DE,Android
193,2024-01-30,Organic,UA,iOS
194,2024-01-19,Organic,US,iOS
195,2024-04-29,Organic,DE,Android
196,2024-05-01,Facebook Ads,UK,Android
197,2024-06-15,Organic,DE,iOS
198,2024-04-13,Google Ads,UK,Android
199,2024-06-24,Organic,UK,Android
200,2024-05-14,Facebook Ads,UK,iOS
201,2024-04-16,Google Ads,UA,iOS
202,2024-02-08,Google Ads,UA,iOS
203,2024-06-21,Facebook Ads,UA,iOS
204,2024-02-02,Google Ads,US,Android
205,2024-04-25,Organic,UK,Android
206,2024-04-14,Organic,IN,iOS
207,2024-05-10,Google Ads,UK,iOS
208,2024-01-07,Facebook Ads,UK,Android
209,2024-01-31,Organic,IN,iOS
210,2024-01-24,Organic,UK,iOS
211,2024-03-30,Organic,DE,iOS
212,2024-04-11,Google Ads,DE,iOS
213,2024-03-31,Facebook Ads,DE,iOS
214,2024-03-18,Organic,US,Android
215,2024-01-09,Organic,UK,Android
216,2024-03-27,Google Ads,US,Android
217,2024-05-15,Influencer,UK,Android
218,2024-03-14,Organic,US,iOS
219,2024-03-15,Facebook Ads,US,Android
220,2024-06-28,Google Ads,UA,iOS
221,2024-05-03,Facebook Ads,UA,iOS
222,2024-06-21,Facebook Ads,US,Android
223,2024-02-09,Organic,US,Android
224,2024-03-10,Organic,UK,iOS
225,2024-03-24,Organic,UK,iOS
226,2024-03-15,Organic,UA,Android
227,2024-06-18,Organic,DE,Android
228,2024-06-21,Facebook Ads,DE,iOS
229,2024-04-08,Organic,IN,iOS
230,2024-02-15,Google Ads,UK,Android
231,2024-05-29,Organic,US,Android
232,2024-05-04,Facebook Ads,IN,iOS
233,2024-06-22,Facebook Ads,DE,iOS
234,2024-06-10,Google Ads,UK,iOS
235,2024-06-08,Facebook Ads,UK,Android
236,2024-02-03,Influencer,US,Android
237,2024-01-03,Google Ads,IN,Android
238,2024-01-28,Facebook Ads,UK,iOS
239,2024-02-23,Facebook Ads,UA,Android
240,2024-01-13,Organic,DE,iOS
241,2024-01-08,Google Ads,UA,iOS
242,2024-05-17,Google Ads,UK,iOS
243,2024-01-17,Organic,DE,iOS
244,2024-03-05,Facebook Ads,UK,iOS
245,2024-06-01,Organic,IN,iOS
246,2024-02-05,Organic,IN,iOS
247,2024-06-16,Facebook Ads,US,Android
248,2024-03-21,Facebook Ads,DE,Android
249,2024-06-15,Organic,UK,Android
250,2024-02-02,Facebook Ads,UK,iOS
251,2024-05-25,Organic,IN,Android
252,2024-04-21,Facebook Ads,DE,iOS
253,2024-05-14,Influencer,DE,Android
254,2024-02-19,Organic,US,Android
255,2024-03-11,Influencer,DE,iOS
256,2024-06-05,Organic,DE,iOS
257,2024-03-28,Google Ads,US,iOS
258,2024-05-31,Organic,IN,iOS
259,2024-04-17,Influencer,US,Android
260,2024-01-09,Influencer,US,Android
261,2024-05-11,Google Ads,UK,iOS
262,2024-03-08,Organic,IN,iOS
263,2024-06-18,Influencer,UK,iOS
264,2024-02-27,Organic,UA,Android
265,2024-03-21,Google Ads,IN,Android
